<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.BTC/USD;60;20210213;150000;46541.8800000;47016.3800000;46190.0000000;46604.3900000;506
BTSX.BTC/USD;60;20210213;160000;46577.8400000;47243.4300000;46184.7300000;46926.4800000;76
BTSX.BTC/USD;60;20210213;170000;46900.4000000;47164.5800000;46610.0000000;47014.3600000;47
BTSX.BTC/USD;60;20210213;180000;46997.5900000;47095.1100000;46706.1000000;47007.5700000;60
BTSX.BTC/USD;60;20210213;190000;46980.4900000;47347.8600000;46971.4800000;47128.7100000;33
BTSX.BTC/USD;60;20210213;200000;47143.2600000;47410.0000000;46920.5200000;47192.3700000;58
BTSX.BTC/USD;60;20210213;210000;47192.3700000;47217.9400000;46780.0000000;46848.3200000;41
BTSX.BTC/USD;60;20210213;220000;46901.5400000;47061.0200000;46787.0500000;46839.5000000;17
BTSX.BTC/USD;60;20210213;230000;46832.9400000;47124.7300000;46762.8800000;46932.6700000;16
BTSX.BTC/USD;60;20210214;0;46937.7800000;47029.1300000;46700.0000000;46995.9400000;35
BTSX.BTC/USD;60;20210214;10000;46998.4200000;47427.6700000;46753.9900000;47171.3800000;71
BTSX.BTC/USD;60;20210214;20000;47164.4500000;47328.8500000;46907.8500000;47134.2700000;26
BTSX.BTC/USD;60;20210214;30000;47125.5600000;47350.1100000;47069.1900000;47183.6800000;55
BTSX.BTC/USD;60;20210214;40000;47573.0100000;47750.0000000;47417.9500000;47654.2000000;47
BTSX.BTC/USD;60;20210214;50000;47654.2000000;47760.0000000;47334.8800000;47536.6200000;37
BTSX.BTC/USD;60;20210214;60000;47536.6200000;47694.6000000;47405.6800000;47457.7200000;44
BTSX.BTC/USD;60;20210214;70000;47497.1700000;47588.3600000;47290.9300000;47322.1200000;27
BTSX.BTC/USD;60;20210214;80000;47345.8100000;47688.4800000;47294.9200000;47596.9800000;30
BTSX.BTC/USD;60;20210214;90000;47614.2700000;48952.0000000;47540.4300000;48952.0000000;618
BTSX.BTC/USD;60;20210214;100000;48952.0000000;49361.0600000;48549.2300000;48787.1700000;564
BTSX.BTC/USD;60;20210214;110000;48779.6200000;49125.2600000;48593.1100000;48767.9400000;139
BTSX.BTC/USD;60;20210214;120000;48789.0100000;49041.8900000;48436.8700000;48747.3300000;108
BTSX.BTC/USD;60;20210214;130000;48720.5500000;49174.0000000;48608.0000000;49158.5900000;132
BTSX.BTC/USD;60;20210214;140000;49145.0500000;49378.1900000;48950.7000000;49051.4700000;200
